,0
0,206.51979
1,205.93588
2,205.34714
3,204.75316
4,204.15378
5,203.51416
6,202.85194
7,202.20271
8,201.55574
9,200.9081
10,200.2585
11,199.60577
12,198.94905
13,198.28833
14,197.62276
15,196.95245
16,196.27803
17,195.5999
18,194.91809
19,194.23242
20,193.5424
21,192.84787
22,192.14908
23,191.44562
24,190.73665
25,190.0222
26,189.30133
27,188.57057
28,187.81425
29,186.93037
30,185.70224
31,184.46666
32,183.3179
33,182.21692
34,181.14034
35,180.05838
36,178.8986
37,177.71399
38,176.5624
39,175.43419
40,174.32263
41,173.22456
42,172.13655
43,171.05797
44,169.9879
45,168.9237
46,167.86636
47,166.819
48,165.77815
49,164.74103
50,163.70668
51,162.67201
52,161.61067
53,160.26212
54,158.55963
55,157.00822
56,155.56294
57,154.1784
58,152.83798
59,151.53433
60,150.25854
61,149.00433
62,147.768
63,146.54732
64,145.34221
65,144.15286
66,142.98273
67,141.83508
68,140.70984
69,139.62274
70,138.62372
71,137.74945
72,136.95032
73,136.18338
74,135.434
75,134.6994
76,133.98186
77,133.29004
78,132.665
79,132.12793
80,131.62672
81,131.13153
82,130.634
83,130.12949
84,129.615
85,129.08519
86,128.52324
87,127.85199
88,126.85715
89,125.75039
90,124.748344
91,123.80834
92,122.90233
93,122.01747
94,121.149826
95,120.30208
96,119.492546
97,118.72752
98,117.98197
99,117.243805
